月份,周,月内第几天,全局第几天,学什么_40分钟,做什么_70分钟,验收标准,关联项目,考证,备注
1,W1,1,1,Python语法/模块,建仓库ai-chat-api、venv、安装依赖,GET /ping返回ok,chat-api,,
1,W1,2,2,类/异常/文件读写,.env配置读取,能读环境变量且不泄露key,chat-api,,
1,W1,3,3,async/await,异步路由改造,异步接口正常,chat-api,,
1,W1,4,4,Pydantic校验,POST /chat校验message,空/超长返回400,chat-api,,
1,W1,5,5,路由分层,拆routers/schemas/services,结构清晰可运行,chat-api,,
1,W1,6,6,logging,请求日志+耗时,每请求有log,chat-api,,
1,W1,7,7,周复盘,README v0.1,他人能跑通ping/chat,chat-api,,W1交付
1,W2,8,8,httpx调API,llm_client.py,模型有返回,chat-api,,
1,W2,9,9,超时重试,失败友好错误,服务不崩溃,chat-api,,
1,W2,10,10,分层设计,业务逻辑进service,路由无厚逻辑,chat-api,,
1,W2,11,11,Bearer鉴权,无token返回401,鉴权生效,chat-api,,
1,W2,12,12,统一异常,code/message/request_id,错误格式统一,chat-api,,
1,W2,13,13,接口测试,10条curl/Postman用例,测试记录通过,chat-api,,
1,W2,14,14,周复盘,README补充鉴权/错误码,完整聊天一次,chat-api,,W2交付
1,W3,15,15,PostgreSQL表设计,chat_messages建表,建表成功,chat-api,,
1,W3,16,16,SQLAlchemy,问答入库,DB有记录,chat-api,,
1,W3,17,17,分页查询,GET /history,按user分页,chat-api,,
1,W3,18,18,Redis基础,最近回答缓存,缓存命中加速,chat-api,,
1,W3,19,19,TTL/缓存穿透,cache hit/miss日志,日志可区分,chat-api,,
1,W3,20,20,缓存流程,先缓存后模型,流程稳定,chat-api,,
1,W3,21,21,输入脱敏,长度限制/日志脱敏,异常输入可控,chat-api,,
1,W3,22,22,Dockerfile,容器化app,docker可访问,chat-api,,
1,W3,23,23,Docker Compose,app+postgres+redis,一条命令启动,chat-api,,
1,W3,24,24,healthz,健康检查,三服务稳定,chat-api,,
1,W3,25,25,多环境配置,.env.example,改配置不改代码,chat-api,,
1,W3,26,26,性能日志,模型/DB耗时,日志有指标,chat-api,,
1,W3,27,27,回归测试,全链路自测,无阻塞bug,chat-api,,
1,W4,28,28,文档化,README v1.0,30分钟跑通,chat-api,,W3-W4
1,W4,29,29,项目讲解,录屏5分钟,能讲清链路,chat-api,,
1,W4,30,30,月复盘,规划第2月RAG,书面复盘500字+,chat-api,,月交付chat-api
2,W1,1,31,PDF/MD解析,ingest.py解析样例PDF,输出文本+页码,energy-storage-rag,,
2,W1,2,32,chunk策略,切分+元数据,可见chunk数量,energy-storage-rag,,
2,W1,3,33,Embedding,批量向量化,可检索,energy-storage-rag,,
2,W1,4,34,FAISS/pgvector,top5检索,返回相似片段,energy-storage-rag,,
2,W1,5,35,RAG初版,POST /rag/query,能回答问题,energy-storage-rag,,
2,W1,6,36,citations,响应加引用字段,有出处,energy-storage-rag,,
2,W1,7,37,周复盘录屏,README写ingest流程,5分钟演示,energy-storage-rag,,W1交付
2,W2,8,38,脱敏规范,替换敏感字段,样例可公开,energy-storage-rag,,
2,W2,9,39,3类文档导入,BMS/故障码/工单,>=3个doc_id,energy-storage-rag,,
2,W2,10,40,约束Prompt,无依据拒答,无关问题拒答,energy-storage-rag,,
2,W2,11,41,rerank,top5到top3,命中率提升,energy-storage-rag,,
2,W2,12,42,参数实验,3组chunk对比,有对比表,energy-storage-rag,,
2,W2,13,43,评估集20题,批量脚本打分,有accuracy数字,energy-storage-rag,,
2,W2,14,44,修失败case,调参/改prompt,>=70%或改进清单,energy-storage-rag,,W2交付
2,W3,15,45,上传接口,POST /documents,新文档可问,energy-storage-rag,,
2,W3,16,46,异步ingest,BackgroundTasks,大文件不阻塞,energy-storage-rag,,
2,W3,17,47,幻觉治理,无citation不肯定,抽检10题过关,energy-storage-rag,,
2,W3,18,48,考纲原理+合规,刷题1h,错题本10条,energy-storage-rag,证1,
2,W3,19,49,考纲RAG+Prompt,刷题+项目笔记,笔记1篇,energy-storage-rag,证1,
2,W3,20,50,模考,完整模考1次,>=60分,energy-storage-rag,证1,
2,W3,21,51,录屏10分钟,RAG全链路演示,能讲评估,energy-storage-rag,,W3交付
2,W4,22,52,token/耗时,成本日志,每请求有cost,energy-storage-rag,,
2,W4,23,53,Redis缓存FAQ,热门Q缓存,重复问题加速,energy-storage-rag,,
